"iso3","year","median","varnum","income"
"AFG",1990,88.41116,"01",1
"AFG",1995,69.07735,"01",1
"AFG",2000,62.49873,"01",1
"AFG",2005,56.5473,"01",1
"AFG",2010,70.10289,"01",1
"AFG",2015,93.11695,"01",1
"AFG",2018,73.16223,"01",1
"AFG",1990,212.6058,"02",1
"AFG",1995,151.66005,"02",1
"AFG",2000,168.61784,"02",1
"AFG",2005,212.66426,"02",1
"AFG",2010,202.97998,"02",1
"AFG",2015,143.72373,"02",1
"AFG",2018,127.76036,"02",1
"AFG",1990,71.27587,"03",1
"AFG",1995,37.17425,"03",1
"AFG",2000,32.09095,"03",1
"AFG",2005,38.96576,"03",1
"AFG",2010,16.28758,"03",1
"AFG",2015,18.08075,"03",1
"AFG",2018,23.23624,"03",1
"AFG",1990,45.7026,"04",1
"AFG",1995,55.93975,"04",1
"AFG",2000,59.48113,"04",1
"AFG",2005,49.04464,"04",1
"AFG",2010,47.81496,"04",1
"AFG",2015,37.60753,"04",1
"AFG",2018,40.09583,"04",1
"AFG",1990,99.15611,"05",1
"AFG",1995,85.22214,"05",1
"AFG",2000,51.43849,"05",1
"AFG",2005,74.58333,"05",1
"AFG",2010,128.4987,"05",1
"AFG",2015,122.54539,"05",1
"AFG",2018,119.07831,"05",1
"AFG",1990,8.50946,"06",1
"AFG",1995,4.34006,"06",1
"AFG",2000,2.74072,"06",1
"AFG",2005,2.70855,"06",1
"AFG",2010,16.29701,"06",1
"AFG",2015,3.24515,"06",1
"AFG",2018,33.94779,"06",1
"AFG",1990,417.28858,"07",1
"AFG",1995,437.83621,"07",1
"AFG",2000,442.41438,"07",1
"AFG",2005,445.00094,"07",1
"AFG",2010,391.06688,"07",1
"AFG",2015,258.38255,"07",1
"AFG",2018,252.01689,"07",1
"AFG",1990,178.29277,"08",1
"AFG",1995,152.64983,"08",1
"AFG",2000,74.44787,"08",1
"AFG",2005,51.06987,"08",1
"AFG",2010,55.30956,"08",1
"AFG",2015,44.83204,"08",1
"AFG",2018,42.14034,"08",1
"AFG",1990,2.75408,"09",1
"AFG",1995,2.5059,"09",1
"AFG",2000,2.7489,"09",1
"AFG",2005,2.7254,"09",1
"AFG",2010,2.96014,"09",1
"AFG",2015,3.09395,"09",1
"AFG",2018,2.04187,"09",1
"AFG",1990,47.38156,"10",1
"AFG",1995,30.12183,"10",1
"AFG",2000,29.42033,"10",1
"AFG",2005,20.83734,"10",1
"AFG",2010,18.75987,"10",1
"AFG",2015,13.18066,"10",1
"AFG",2018,10.13071,"10",1
"AFG",1990,3.78626,"11",1
"AFG",1995,3.84449,"11",1
"AFG",2000,3.95129,"11",1
"AFG",2005,3.95923,"11",1
"AFG",2010,4.09733,"11",1
"AFG",2015,3.81236,"11",1
"AFG",2018,3.8076,"11",1
"AFG",1990,7.41374,"12",1
"AFG",1995,4.50538,"12",1
"AFG",2000,4.07251,"12",1
"AFG",2005,5.352,"12",1
"AFG",2010,6.9582,"12",1
"AFG",2015,11.17846,"12",1
"AFG",2018,9.70631,"12",1
"AFG",1990,0.75242,"13",1
"AFG",1995,0.62535,"13",1
"AFG",2000,0.69414,"13",1
"AFG",2005,0.59529,"13",1
"AFG",2010,0.61135,"13",1
"AFG",2015,0.55383,"13",1
"AFG",2018,0.55187,"13",1
"AFG",1990,10.77222,"14",1
"AFG",1995,10.52384,"14",1
"AFG",2000,11.65859,"14",1
"AFG",2005,11.70211,"14",1
"AFG",2010,12.37648,"14",1
"AFG",2015,9.81706,"14",1
"AFG",2018,9.72988,"14",1
"AFG",1990,5.84466,"15",1
"AFG",1995,3.49368,"15",1
"AFG",2000,4.35984,"15",1
"AFG",2005,38.30147,"15",1
"AFG",2010,89.21242,"15",1
"AFG",2015,61.9822,"15",1
"AFG",2018,75.70563,"15",1
"AFG",1990,2.47778,"16",1
"AFG",1995,2.85098,"16",1
"AFG",2000,3.30424,"16",1
"AFG",2005,3.61728,"16",1
"AFG",2010,3.86557,"16",1
"AFG",2015,2.50685,"16",1
"AFG",2018,2.66208,"16",1
"AFG",1990,0.47839,"17",1
"AFG",1995,0.48168,"17",1
"AFG",2000,0.49805,"17",1
"AFG",2005,0.51072,"17",1
"AFG",2010,0.53528,"17",1
"AFG",2015,0.46715,"17",1
"AFG",2018,0.47441,"17",1
"AFG",1990,1.23542,"18",1
"AFG",1995,1.19028,"18",1
"AFG",2000,1.126,"18",1
"AFG",2005,0.69241,"18",1
"AFG",2010,1.24694,"18",1
"AFG",2015,1.94871,"18",1
"AFG",2018,1.84504,"18",1
"AFG",1990,68.28302,"22",1
"AFG",1995,68.16724,"22",1
"AFG",2000,68.09482,"22",1
"AFG",2005,67.8217,"22",1
"AFG",2010,67.72808,"22",1
"AFG",2015,68.05552,"22",1
"AFG",2018,68.11912,"22",1
"AFG",1990,55.48036,"23",1
"AFG",1995,60.92645,"23",1
"AFG",2000,60.67745,"23",1
"AFG",2005,54.04614,"23",1
"AFG",2010,62.86087,"23",1
"AFG",2015,67.77973,"23",1
"AFG",2018,66.68064,"23",1
"AFG",1990,6.59372,"27",1
"AFG",1995,6.52018,"27",1
"AFG",2000,6.4692,"27",1
"AFG",2005,6.56472,"27",1
"AFG",2010,6.68033,"27",1
"AFG",2015,6.44849,"27",1
"AFG",2018,6.40145,"27",1
"AFG",1990,4.43448,"28",1
"AFG",1995,4.38439,"28",1
"AFG",2000,4.49167,"28",1
"AFG",2005,4.5132,"28",1
"AFG",2010,4.63813,"28",1
"AFG",2015,4.48449,"28",1
"AFG",2018,4.43428,"28",1
"AFG",1990,2.6066,"29",1
"AFG",1995,2.60853,"29",1
"AFG",2000,2.61345,"29",1
"AFG",2005,2.62141,"29",1
"AFG",2010,2.62542,"29",1
"AFG",2015,2.62621,"29",1
"AFG",2018,2.62189,"29",1
"AFG",1990,1.78617,"30",1
"AFG",1995,1.86439,"30",1
"AFG",2000,2.07486,"30",1
"AFG",2005,2.18992,"30",1
"AFG",2010,2.25302,"30",1
"AFG",2015,1.99236,"30",1
"AFG",2018,2.00754,"30",1
"AFG",1990,845.61541,"31",1
"AFG",1995,827.09439,"31",1
"AFG",2000,822.6892,"31",1
"AFG",2005,846.94287,"31",1
"AFG",2010,954.71847,"31",1
"AFG",2015,841.95502,"31",1
"AFG",2018,977.16205,"31",1
"AFG",1990,154.45714,"33",1
"AFG",1995,128.18556,"33",1
"AFG",2000,128.4592,"33",1
"AFG",2005,114.5959,"33",1
"AFG",2010,111.94722,"33",1
"AFG",2015,93.07929,"33",1
"AFG",2018,83.46015,"33",1
"AFG",1990,66.37075,"34",1
"AFG",1995,56.32406,"34",1
"AFG",2000,54.19458,"34",1
"AFG",2005,54.42774,"34",1
"AFG",2010,51.65769,"34",1
"AFG",2015,55.89541,"34",1
"AFG",2018,53.18923,"34",1
"AFG",1990,0.00125,"35",1
"AFG",1995,6e-05,"35",1
"AFG",2000,0.00015,"35",1
"AFG",2005,1.46108,"35",1
"AFG",2010,12.3788,"35",1
"AFG",2015,8.4999,"35",1
"AFG",2018,12.99771,"35",1
"AFG",1990,441.27567,"36",1
"AFG",1995,450.61781,"36",1
"AFG",2000,452.93953,"36",1
"AFG",2005,462.20774,"36",1
"AFG",2010,482.85842,"36",1
"AFG",2015,472.75334,"36",1
"AFG",2018,469.92535,"36",1
"AFG",1990,3560.06924,"37",1
"AFG",1995,3570.31612,"37",1
"AFG",2000,3558.63911,"37",1
"AFG",2005,3562.52177,"37",1
"AFG",2010,3583.12581,"37",1
"AFG",2015,3622.99684,"37",1
"AFG",2018,3684.49825,"37",1
"AFG",1990,68.98429,"38",1
"AFG",1995,65.94677,"38",1
"AFG",2000,63.52698,"38",1
"AFG",2005,67.59325,"38",1
"AFG",2010,75.93999,"38",1
"AFG",2015,76.84644,"38",1
"AFG",2018,73.37311,"38",1
"AFG",1990,29.90177,"39",1
"AFG",1995,28.70154,"39",1
"AFG",2000,26.25313,"39",1
"AFG",2005,25.7716,"39",1
"AFG",2010,24.30737,"39",1
"AFG",2015,24.34605,"39",1
"AFG",2018,21.66902,"39",1
"AFG",1990,228.69281,"40",1
"AFG",1995,236.58075,"40",1
"AFG",2000,253.05982,"40",1
"AFG",2005,266.44495,"40",1
"AFG",2010,286.17296,"40",1
"AFG",2015,288.77935,"40",1
"AFG",2018,287.30219,"40",1
