"iso3","year","median","varnum","income"
"AFG",1990,70.89201,"01",1
"AFG",1995,55.59908,"01",1
"AFG",2000,49.45252,"01",1
"AFG",2005,45.1506,"01",1
"AFG",2010,56.01406,"01",1
"AFG",2015,75.87709,"01",1
"AFG",2018,59.80641,"01",1
"AFG",1990,152.48865,"02",1
"AFG",1995,109.39473,"02",1
"AFG",2000,119.86048,"02",1
"AFG",2005,153.72936,"02",1
"AFG",2010,146.87873,"02",1
"AFG",2015,107.90454,"02",1
"AFG",2018,97.46734,"02",1
"AFG",1990,62.32411,"03",1
"AFG",1995,32.61547,"03",1
"AFG",2000,27.48831,"03",1
"AFG",2005,33.56801,"03",1
"AFG",2010,14.07194,"03",1
"AFG",2015,15.99352,"03",1
"AFG",2018,20.78781,"03",1
"AFG",1990,46.71483,"04",1
"AFG",1995,56.74252,"04",1
"AFG",2000,59.89606,"04",1
"AFG",2005,49.09875,"04",1
"AFG",2010,48.5214,"04",1
"AFG",2015,39.30105,"04",1
"AFG",2018,42.30583,"04",1
"AFG",1990,82.8663,"05",1
"AFG",1995,70.67931,"05",1
"AFG",2000,42.09788,"05",1
"AFG",2005,60.06048,"05",1
"AFG",2010,104.36298,"05",1
"AFG",2015,104.74989,"05",1
"AFG",2018,102.98478,"05",1
"AFG",1990,6.41152,"06",1
"AFG",1995,3.21334,"06",1
"AFG",2000,2.05098,"06",1
"AFG",2005,1.96638,"06",1
"AFG",2010,11.89216,"06",1
"AFG",2015,2.45511,"06",1
"AFG",2018,26.31777,"06",1
"AFG",1990,359.07463,"07",1
"AFG",1995,375.22183,"07",1
"AFG",2000,377.72832,"07",1
"AFG",2005,378.86875,"07",1
"AFG",2010,338.4845,"07",1
"AFG",2015,233.68742,"07",1
"AFG",2018,231.53546,"07",1
"AFG",1990,162.70659,"08",1
"AFG",1995,139.32055,"08",1
"AFG",2000,64.07453,"08",1
"AFG",2005,42.38965,"08",1
"AFG",2010,45.0762,"08",1
"AFG",2015,38.02076,"08",1
"AFG",2018,35.25007,"08",1
"AFG",1990,3.58614,"09",1
"AFG",1995,3.18204,"09",1
"AFG",2000,3.40418,"09",1
"AFG",2005,3.47995,"09",1
"AFG",2010,3.77585,"09",1
"AFG",2015,4.1349,"09",1
"AFG",2018,2.74591,"09",1
"AFG",1990,32.45746,"10",1
"AFG",1995,20.59214,"10",1
"AFG",2000,20.00082,"10",1
"AFG",2005,14.14072,"10",1
"AFG",2010,12.62517,"10",1
"AFG",2015,9.16258,"10",1
"AFG",2018,7.17381,"10",1
"AFG",1990,2.95532,"11",1
"AFG",1995,2.98565,"11",1
"AFG",2000,3.02781,"11",1
"AFG",2005,3.0593,"11",1
"AFG",2010,3.12955,"11",1
"AFG",2015,3.07946,"11",1
"AFG",2018,3.06951,"11",1
"AFG",1990,5.38458,"12",1
"AFG",1995,3.24798,"12",1
"AFG",2000,2.90979,"12",1
"AFG",2005,3.83819,"12",1
"AFG",2010,4.96024,"12",1
"AFG",2015,8.08448,"12",1
"AFG",2018,7.0071,"12",1
"AFG",1990,0.7174,"13",1
"AFG",1995,0.57607,"13",1
"AFG",2000,0.63629,"13",1
"AFG",2005,0.54555,"13",1
"AFG",2010,0.55768,"13",1
"AFG",2015,0.5186,"13",1
"AFG",2018,0.52021,"13",1
"AFG",1990,10.55557,"14",1
"AFG",1995,10.3816,"14",1
"AFG",2000,11.26639,"14",1
"AFG",2005,11.26339,"14",1
"AFG",2010,12.05818,"14",1
"AFG",2015,9.82848,"14",1
"AFG",2018,9.78451,"14",1
"AFG",1990,3.97097,"15",1
"AFG",1995,2.31223,"15",1
"AFG",2000,2.89043,"15",1
"AFG",2005,25.23544,"15",1
"AFG",2010,56.4564,"15",1
"AFG",2015,38.92606,"15",1
"AFG",2018,46.41536,"15",1
"AFG",1990,3.16998,"16",1
"AFG",1995,3.68759,"16",1
"AFG",2000,4.15503,"16",1
"AFG",2005,4.5765,"16",1
"AFG",2010,4.89676,"16",1
"AFG",2015,3.19581,"16",1
"AFG",2018,3.35175,"16",1
"AFG",1990,0.53835,"17",1
"AFG",1995,0.54322,"17",1
"AFG",2000,0.537,"17",1
"AFG",2005,0.53831,"17",1
"AFG",2010,0.54705,"17",1
"AFG",2015,0.55471,"17",1
"AFG",2018,0.56409,"17",1
"AFG",1990,1.13564,"18",1
"AFG",1995,1.09933,"18",1
"AFG",2000,1.02813,"18",1
"AFG",2005,0.63506,"18",1
"AFG",2010,1.14085,"18",1
"AFG",2015,1.81124,"18",1
"AFG",2018,1.72116,"18",1
"AFG",1990,68.95512,"22",1
"AFG",1995,68.94302,"22",1
"AFG",2000,68.95616,"22",1
"AFG",2005,68.81418,"22",1
"AFG",2010,68.71993,"22",1
"AFG",2015,69.19563,"22",1
"AFG",2018,69.15906,"22",1
"AFG",1990,47.97331,"23",1
"AFG",1995,52.63234,"23",1
"AFG",2000,51.92702,"23",1
"AFG",2005,46.39573,"23",1
"AFG",2010,54.0747,"23",1
"AFG",2015,59.24618,"23",1
"AFG",2018,59.07773,"23",1
"AFG",1990,7.27691,"27",1
"AFG",1995,7.15078,"27",1
"AFG",2000,7.07017,"27",1
"AFG",2005,7.14252,"27",1
"AFG",2010,7.16833,"27",1
"AFG",2015,6.85939,"27",1
"AFG",2018,6.81389,"27",1
"AFG",1990,4.99586,"28",1
"AFG",1995,4.99842,"28",1
"AFG",2000,5.04516,"28",1
"AFG",2005,5.08205,"28",1
"AFG",2010,5.11692,"28",1
"AFG",2015,5.0086,"28",1
"AFG",2018,4.92995,"28",1
"AFG",1990,2.58736,"29",1
"AFG",1995,2.58594,"29",1
"AFG",2000,2.59001,"29",1
"AFG",2005,2.60031,"29",1
"AFG",2010,2.60154,"29",1
"AFG",2015,2.59695,"29",1
"AFG",2018,2.59886,"29",1
"AFG",1990,1.86467,"30",1
"AFG",1995,1.91358,"30",1
"AFG",2000,2.02477,"30",1
"AFG",2005,2.16168,"30",1
"AFG",2010,2.18059,"30",1
"AFG",2015,2.08854,"30",1
"AFG",2018,2.1705,"30",1
"AFG",1990,805.00671,"31",1
"AFG",1995,775.98426,"31",1
"AFG",2000,769.60157,"31",1
"AFG",2005,789.9256,"31",1
"AFG",2010,886.09403,"31",1
"AFG",2015,800.88373,"31",1
"AFG",2018,934.61085,"31",1
"AFG",1990,129.04784,"33",1
"AFG",1995,106.83536,"33",1
"AFG",2000,106.14146,"33",1
"AFG",2005,94.66002,"33",1
"AFG",2010,92.9593,"33",1
"AFG",2015,77.85769,"33",1
"AFG",2018,70.32622,"33",1
"AFG",1990,54.2512,"34",1
"AFG",1995,46.53662,"34",1
"AFG",2000,44.46698,"34",1
"AFG",2005,44.7576,"34",1
"AFG",2010,42.93006,"34",1
"AFG",2015,46.61345,"34",1
"AFG",2018,45.03178,"34",1
"AFG",1990,0.00194,"35",1
"AFG",1995,9e-05,"35",1
"AFG",2000,0.00022,"35",1
"AFG",2005,1.55178,"35",1
"AFG",2010,10.80208,"35",1
"AFG",2015,8.15257,"35",1
"AFG",2018,11.59643,"35",1
"AFG",1990,376.94198,"36",1
"AFG",1995,381.80771,"36",1
"AFG",2000,382.09584,"36",1
"AFG",2005,389.33013,"36",1
"AFG",2010,406.10681,"36",1
"AFG",2015,400.82182,"36",1
"AFG",2018,402.20244,"36",1
"AFG",1990,2990.60631,"37",1
"AFG",1995,2984.46813,"37",1
"AFG",2000,2964.48843,"37",1
"AFG",2005,2972.03369,"37",1
"AFG",2010,2976.18005,"37",1
"AFG",2015,3079.65594,"37",1
"AFG",2018,3099.85862,"37",1
"AFG",1990,74.4974,"38",1
"AFG",1995,67.90428,"38",1
"AFG",2000,65.43195,"38",1
"AFG",2005,69.39966,"38",1
"AFG",2010,72.39082,"38",1
"AFG",2015,80.72018,"38",1
"AFG",2018,79.49829,"38",1
"AFG",1990,25.08033,"39",1
"AFG",1995,24.18124,"39",1
"AFG",2000,21.99264,"39",1
"AFG",2005,21.55572,"39",1
"AFG",2010,20.34083,"39",1
