"iso3","year","median","varnum"
"BRB",2000,128.37792,"01"
"BRB",2005,130.88445,"01"
"BRB",2010,131.55981,"01"
"BRB",2015,128.55266,"01"
"BRB",2018,129.49165,"01"
"BRN",1990,81.99554,"01"
"BRN",1995,86.17192,"01"
"BRN",2000,84.87847,"01"
"BRN",2005,112.14122,"01"
"BRN",2010,115.54594,"01"
"BRN",2015,82.67616,"01"
"BRN",2018,82.87319,"01"
"BTN",1990,80.03956,"01"
"BTN",1995,86.35927,"01"
"BTN",2000,91.08442,"01"
"BTN",2005,101.13829,"01"
"BTN",2010,109.70956,"01"
"BTN",2015,99.0889,"01"
"BTN",2018,97.84541,"01"
"BWA",1990,45.53582,"01"
"BWA",1995,48.97619,"01"
"BWA",2000,52.22956,"01"
"BWA",2005,52.49908,"01"
"BWA",2010,54.07917,"01"
"BWA",2015,50.73598,"01"
"BWA",2018,50.92126,"01"
"CAF",1990,78.52123,"01"
"CAF",1995,78.668,"01"
"CAF",2000,83.59751,"01"
"CAF",2005,73.02043,"01"
"CAF",2010,73.93067,"01"
"CAF",2015,100.26598,"01"
"CAF",2018,99.04964,"01"
"CAN",1990,88.76125,"01"
"CAN",1995,103.41634,"01"
"CAN",2000,114.30784,"01"
"CAN",2005,122.48138,"01"
"CAN",2010,130.73029,"01"
"CAN",2015,125.32604,"01"
"CAN",2018,136.05773,"01"
"CHE",1990,149.72945,"01"
"CHE",1995,141.36508,"01"
"CHE",2000,120.56791,"01"
"CHE",2005,104.92583,"01"
"CHE",2010,135.35178,"01"
"CHE",2015,134.46254,"01"
"CHE",2018,137.9643,"01"
"CHL",1990,105.45957,"01"
"CHL",1995,107.1129,"01"
"CHL",2000,108.5425,"01"
"CHL",2005,111.64237,"01"
"CHL",2010,112.75513,"01"
"CHL",2015,108.59489,"01"
"CHL",2018,108.52941,"01"
"CHN",1990,79.90754,"01"
"CHN",1995,85.19441,"01"
"CHN",2000,88.85064,"01"
"CHN",2005,91.49984,"01"
"CHN",2010,93.12685,"01"
"CHN",2015,88.9504,"01"
"CHN",2018,89.4122,"01"
"CMR",1990,74.28758,"01"
"CMR",1995,81.98435,"01"
"CMR",2000,68.78023,"01"
"CMR",2005,76.03801,"01"
"CMR",2010,82.69451,"01"
"CMR",2015,81.19322,"01"
"CMR",2018,83.27337,"01"
"COD",1990,91.60334,"01"
"COD",1995,93.06448,"01"
"COD",2000,94.08373,"01"
"COD",2005,94.86205,"01"
"COD",2010,96.42874,"01"
"COD",2015,94.54047,"01"
"COD",2018,94.47493,"01"
"COG",1990,86.86889,"01"
"COG",1995,88.59239,"01"
"COG",2000,88.94635,"01"
"COG",2005,88.68959,"01"
"COG",2010,89.04701,"01"
"COG",2015,89.5736,"01"
"COG",2018,89.74627,"01"
"COL",1990,95.17833,"01"
"COL",1995,97.94242,"01"
"COL",2000,101.1526,"01"
"COL",2005,103.86544,"01"
"COL",2010,109.52933,"01"
"COL",2015,100.59043,"01"
"COL",2018,100.54667,"01"
"COM",1990,82.72806,"01"
"COM",1995,84.72085,"01"
"COM",2000,86.23217,"01"
"COM",2005,88.78833,"01"
"COM",2010,91.46198,"01"
"COM",2015,85.27501,"01"
"COM",2018,85.33813,"01"
"CPV",1990,70.77531,"01"
"CPV",1995,123.501,"01"
"CPV",2000,112.15569,"01"
"CPV",2005,122.71843,"01"
"CPV",2010,239.4394,"01"
"CPV",2015,200.32326,"01"
"CPV",2018,237.21517,"01"
"CRI",1990,111.15412,"01"
"CRI",1995,77.87456,"01"
"CRI",2000,121.59685,"01"
"CRI",2005,119.36334,"01"
"CRI",2010,86.07101,"01"
"CRI",2015,123.86157,"01"
"CRI",2018,130.84277,"01"
"CUB",1990,72.57866,"01"
"CUB",1995,79.99426,"01"
"CUB",2000,122.31793,"01"
"CUB",2005,118.63733,"01"
"CUB",2010,125.56124,"01"
