"iso3","year","median","varnum","income"
"AFG",1990,85.26006,"01",1
"AFG",1995,67.27561,"01",1
"AFG",2000,60.40054,"01",1
"AFG",2005,55.03036,"01",1
"AFG",2010,67.96339,"01",1
"AFG",2015,90.3549,"01",1
"AFG",2018,70.70916,"01",1
"AFG",1990,182.35175,"02",1
"AFG",1995,130.99659,"02",1
"AFG",2000,144.44254,"02",1
"AFG",2005,184.36042,"02",1
"AFG",2010,175.19814,"02",1
"AFG",2015,123.80497,"02",1
"AFG",2018,108.72689,"02",1
"AFG",1990,56.3618,"03",1
"AFG",1995,30.17158,"03",1
"AFG",2000,25.92906,"03",1
"AFG",2005,31.80202,"03",1
"AFG",2010,13.37823,"03",1
"AFG",2015,14.22302,"03",1
"AFG",2018,18.66336,"03",1
"AFG",1990,11.93111,"04",1
"AFG",1995,14.96431,"04",1
"AFG",2000,16.19985,"04",1
"AFG",2005,13.16997,"04",1
"AFG",2010,13.0597,"04",1
"AFG",2015,10.27913,"04",1
"AFG",2018,11.07088,"04",1
"AFG",1990,102.8232,"05",1
"AFG",1995,89.33987,"05",1
"AFG",2000,53.26537,"05",1
"AFG",2005,77.43712,"05",1
"AFG",2010,132.97207,"05",1
"AFG",2015,124.98574,"05",1
"AFG",2018,123.14195,"05",1
"AFG",1990,9.93542,"06",1
"AFG",1995,5.02036,"06",1
"AFG",2000,3.15739,"06",1
"AFG",2005,3.12599,"06",1
"AFG",2010,18.83088,"06",1
"AFG",2015,3.76541,"06",1
"AFG",2018,37.99551,"06",1
"AFG",1990,561.76857,"07",1
"AFG",1995,590.3357,"07",1
"AFG",2000,594.1067,"07",1
"AFG",2005,593.76647,"07",1
"AFG",2010,527.21046,"07",1
"AFG",2015,349.03294,"07",1
"AFG",2018,341.61206,"07",1
"AFG",1990,185.0626,"08",1
"AFG",1995,163.79964,"08",1
"AFG",2000,85.00108,"08",1
"AFG",2005,57.96137,"08",1
"AFG",2010,62.3265,"08",1
"AFG",2015,51.78328,"08",1
"AFG",2018,47.88363,"08",1
"AFG",1990,2.5568,"09",1
"AFG",1995,2.38784,"09",1
"AFG",2000,2.58247,"09",1
"AFG",2005,2.58469,"09",1
"AFG",2010,2.80019,"09",1
"AFG",2015,2.83236,"09",1
"AFG",2018,1.82604,"09",1
"AFG",1990,35.54908,"10",1
"AFG",1995,22.82267,"10",1
"AFG",2000,21.98633,"10",1
"AFG",2005,15.97416,"10",1
"AFG",2010,14.04466,"10",1
"AFG",2015,9.97489,"10",1
"AFG",2018,7.71584,"10",1
"AFG",1990,3.45359,"11",1
"AFG",1995,3.50711,"11",1
"AFG",2000,3.59236,"11",1
"AFG",2005,3.6209,"11",1
"AFG",2010,3.68083,"11",1
"AFG",2015,3.51477,"11",1
"AFG",2018,3.49415,"11",1
"AFG",1990,3.22892,"12",1
"AFG",1995,1.97114,"12",1
"AFG",2000,1.77035,"12",1
"AFG",2005,2.33942,"12",1
"AFG",2010,3.04574,"12",1
"AFG",2015,4.87933,"12",1
"AFG",2018,4.24207,"12",1
"AFG",1990,0.72024,"13",1
"AFG",1995,0.59969,"13",1
"AFG",2000,0.66018,"13",1
"AFG",2005,0.57111,"13",1
"AFG",2010,0.58773,"13",1
"AFG",2015,0.53427,"13",1
"AFG",2018,0.53641,"13",1
"AFG",1990,12.0419,"14",1
"AFG",1995,11.93014,"14",1
"AFG",2000,13.09361,"14",1
"AFG",2005,12.95215,"14",1
"AFG",2010,13.94051,"14",1
"AFG",2015,10.82597,"14",1
"AFG",2018,11.0438,"14",1
"AFG",1990,3.1781,"15",1
"AFG",1995,1.85837,"15",1
"AFG",2000,2.36628,"15",1
"AFG",2005,20.72012,"15",1
"AFG",2010,47.43008,"15",1
"AFG",2015,33.85311,"15",1
"AFG",2018,40.88586,"15",1
"AFG",1990,0.1191,"16",1
"AFG",1995,0.13818,"16",1
"AFG",2000,0.15559,"16",1
"AFG",2005,0.17741,"16",1
"AFG",2010,0.18392,"16",1
"AFG",2015,0.11929,"16",1
"AFG",2018,0.12862,"16",1
"AFG",1990,1.86946,"17",1
"AFG",1995,1.88167,"17",1
"AFG",2000,1.90962,"17",1
"AFG",2005,1.85446,"17",1
"AFG",2010,1.87307,"17",1
"AFG",2015,1.87621,"17",1
