"iso3","year","median","varnum","income"
"AFG",1990,102.67652,"01",1
"AFG",1995,78.40148,"01",1
"AFG",2000,67.52761,"01",1
"AFG",2005,60.37754,"01",1
"AFG",2010,72.24492,"01",1
"AFG",2015,110.73608,"01",1
"AFG",2018,88.07996,"01",1
"AFG",1990,159.86853,"02",1
"AFG",1995,114.66541,"02",1
"AFG",2000,124.47027,"02",1
"AFG",2005,158.03991,"02",1
"AFG",2010,149.73391,"02",1
"AFG",2015,113.13777,"02",1
"AFG",2018,101.53527,"02",1
"AFG",1990,63.98315,"03",1
"AFG",1995,33.51811,"03",1
"AFG",2000,28.27716,"03",1
"AFG",2005,34.49314,"03",1
"AFG",2010,14.47788,"03",1
"AFG",2015,16.51589,"03",1
"AFG",2018,21.48747,"03",1
"AFG",1990,55.75313,"04",1
"AFG",1995,65.70406,"04",1
"AFG",2000,68.90813,"04",1
"AFG",2005,54.9932,"04",1
"AFG",2010,53.20179,"04",1
"AFG",2015,47.20057,"04",1
"AFG",2018,50.65033,"04",1
"AFG",1990,94.71705,"05",1
"AFG",1995,80.59039,"05",1
"AFG",2000,47.13086,"05",1
"AFG",2005,66.32996,"05",1
"AFG",2010,111.36389,"05",1
"AFG",2015,118.70764,"05",1
"AFG",2018,116.8077,"05",1
"AFG",1990,7.91059,"06",1
"AFG",1995,3.96854,"06",1
"AFG",2000,2.44263,"06",1
"AFG",2005,2.37728,"06",1
"AFG",2010,14.01287,"06",1
"AFG",2015,3.12271,"06",1
"AFG",2018,31.71332,"06",1
"AFG",1990,348.70207,"07",1
"AFG",1995,363.76584,"07",1
"AFG",2000,366.11225,"07",1
"AFG",2005,363.33665,"07",1
"AFG",2010,323.01791,"07",1
"AFG",2015,226.9971,"07",1
"AFG",2018,224.56209,"07",1
"AFG",1990,169.13881,"08",1
"AFG",1995,149.44786,"08",1
"AFG",2000,73.75546,"08",1
"AFG",2005,51.05276,"08",1
"AFG",2010,54.23332,"08",1
"AFG",2015,47.35826,"08",1
"AFG",2018,44.68838,"08",1
"AFG",1990,3.2023,"09",1
"AFG",1995,2.81504,"09",1
"AFG",2000,2.98277,"09",1
"AFG",2005,2.92727,"09",1
"AFG",2010,3.13284,"09",1
"AFG",2015,3.55804,"09",1
"AFG",2018,2.35342,"09",1
"AFG",1990,46.73493,"10",1
"AFG",1995,29.37769,"10",1
"AFG",2000,27.7703,"10",1
"AFG",2005,19.33724,"10",1
"AFG",2010,16.9279,"10",1
"AFG",2015,13.58301,"10",1
"AFG",2018,10.56573,"10",1
"AFG",1990,3.40645,"11",1
"AFG",1995,3.4074,"11",1
"AFG",2000,3.36675,"11",1
"AFG",2005,3.42617,"11",1
"AFG",2010,3.45615,"11",1
"AFG",2015,3.54233,"11",1
"AFG",2018,3.57904,"11",1
"AFG",1990,8.81273,"12",1
"AFG",1995,5.16959,"12",1
"AFG",2000,4.46163,"12",1
"AFG",2005,5.75156,"12",1
"AFG",2010,7.16188,"12",1
"AFG",2015,13.4979,"12",1
"AFG",2018,11.67393,"12",1
"AFG",1990,0.92162,"13",1
"AFG",1995,0.72972,"13",1
"AFG",2000,0.7956,"13",1
"AFG",2005,0.66341,"13",1
"AFG",2010,0.66485,"13",1
"AFG",2015,0.67711,"13",1
"AFG",2018,0.6813,"13",1
"AFG",1990,14.85149,"14",1
"AFG",1995,13.8279,"14",1
"AFG",2000,14.22041,"14",1
"AFG",2005,13.63348,"14",1
"AFG",2010,13.6667,"14",1
"AFG",2015,13.92155,"14",1
"AFG",2018,13.99546,"14",1
"AFG",1990,11.28608,"15",1
"AFG",1995,6.32815,"15",1
"AFG",2000,7.49981,"15",1
"AFG",2005,62.98314,"15",1
"AFG",2010,136.84478,"15",1
"AFG",2015,117.44265,"15",1
"AFG",2018,141.68338,"15",1
"AFG",1990,6.78252,"16",1
"AFG",1995,7.22303,"16",1
"AFG",2000,7.49998,"16",1
"AFG",2005,7.92844,"16",1
"AFG",2010,7.61729,"16",1
"AFG",2015,6.9448,"16",1
"AFG",2018,7.32925,"16",1
"AFG",1990,0.5411,"17",1
"AFG",1995,0.54804,"17",1
"AFG",2000,0.53575,"17",1
"AFG",2005,0.54172,"17",1
"AFG",2010,0.54424,"17",1
"AFG",2015,0.55725,"17",1
"AFG",2018,0.56504,"17",1
"AFG",1990,1.18008,"18",1
"AFG",1995,1.13653,"18",1
"AFG",2000,1.06413,"18",1
"AFG",2005,0.6543,"18",1
"AFG",2010,1.16922,"18",1
