"iso3","year","median","varnum","income"
"AFG",1990,83.55613,"01",1
"AFG",1995,65.45719,"01",1
"AFG",2000,58.86147,"01",1
"AFG",2005,53.66987,"01",1
"AFG",2010,66.28745,"01",1
"AFG",2015,88.62537,"01",1
"AFG",2018,69.43983,"01",1
"AFG",1990,183.14727,"02",1
"AFG",1995,130.85254,"02",1
"AFG",2000,146.3042,"02",1
"AFG",2005,185.25197,"02",1
"AFG",2010,174.56302,"02",1
"AFG",2015,124.01692,"02",1
"AFG",2018,111.05589,"02",1
"AFG",1990,57.62217,"03",1
"AFG",1995,30.22035,"03",1
"AFG",2000,26.24332,"03",1
"AFG",2005,31.71274,"03",1
"AFG",2010,13.45948,"03",1
"AFG",2015,14.57285,"03",1
"AFG",2018,18.89278,"03",1
"AFG",1990,13.31137,"04",1
"AFG",1995,16.29264,"04",1
"AFG",2000,17.4631,"04",1
"AFG",2005,13.88994,"04",1
"AFG",2010,14.26958,"04",1
"AFG",2015,11.07545,"04",1
"AFG",2018,11.62759,"04",1
"AFG",1990,101.17642,"05",1
"AFG",1995,85.95849,"05",1
"AFG",2000,51.26839,"05",1
"AFG",2005,73.25086,"05",1
"AFG",2010,126.78199,"05",1
"AFG",2015,120.28496,"05",1
"AFG",2018,119.94371,"05",1
"AFG",1990,9.64812,"06",1
"AFG",1995,4.92243,"06",1
"AFG",2000,3.20641,"06",1
"AFG",2005,3.07383,"06",1
"AFG",2010,18.65363,"06",1
"AFG",2015,3.75545,"06",1
"AFG",2018,37.44954,"06",1
"AFG",1990,533.61675,"07",1
"AFG",1995,552.50015,"07",1
"AFG",2000,560.67573,"07",1
"AFG",2005,556.96042,"07",1
"AFG",2010,498.40661,"07",1
"AFG",2015,328.50425,"07",1
"AFG",2018,320.47816,"07",1
"AFG",1990,185.45274,"08",1
"AFG",1995,161.14867,"08",1
"AFG",2000,83.90335,"08",1
"AFG",2005,57.4546,"08",1
"AFG",2010,61.59137,"08",1
"AFG",2015,50.21047,"08",1
"AFG",2018,46.88047,"08",1
"AFG",1990,2.46062,"09",1
"AFG",1995,2.24206,"09",1
"AFG",2000,2.48938,"09",1
"AFG",2005,2.50062,"09",1
"AFG",2010,2.66993,"09",1
"AFG",2015,2.8266,"09",1
"AFG",2018,1.82757,"09",1
"AFG",1990,35.23086,"10",1
"AFG",1995,22.67589,"10",1
"AFG",2000,22.16124,"10",1
"AFG",2005,15.64341,"10",1
"AFG",2010,14.10675,"10",1
"AFG",2015,9.93082,"10",1
"AFG",2018,7.62635,"10",1
"AFG",1990,3.38018,"11",1
"AFG",1995,3.45938,"11",1
"AFG",2000,3.45171,"11",1
